,Reaction ID
873,28893892
874,28950391
875,28950404
876,29077152
877,29095839
878,29095849
879,29204378
880,29797381
881,29988371
882,30033120
883,31496025
884,31496082
885,32801141
886,37172846
887,37172847
888,37172848
889,37172858
890,37172864
891,37172866
892,37172869
893,37350032
894,37350033
895,37668916
896,37881282
897,37881350
898,38936301
899,38936305
900,39162002
901,39849961
902,39849966
903,39849970
904,39849971
905,39849973
906,40372582
907,40372583
908,40372584
909,40818061
910,41599395
911,41599396
912,42503937
913,42503959
914,42503970
915,42503974
916,42504021
917,45103959
918,45103967
919,45103971
920,45938410
921,45954052
922,46422171
923,46422249
924,46862713
925,47266246
926,47304575
927,47304684
928,47304685
929,47304689
930,47304694
931,48278337
932,48278338
933,48278340
934,48278343
935,48291855
936,48746629
937,51253004
938,51272798
939,51505474
940,51959160
941,52402535
942,52402586
943,52402593
944,53215984
945,53580122
946,53963188
947,53963189
948,54356001
949,54356015
950,54633422
951,55385053
952,55385056
953,55961529
954,56135365
955,58327248
956,58476550
957,58934785
958,58934814
959,59380988
960,59514175
961,59550711
962,59590827
963,60301097
964,8683204
965,8941724
966,9248129
967,9267319
968,9267321
969,9268897
970,9270682
971,9521030
972,9524469
973,9634215
974,9679791
975,9683407
976,9730608
977,9799707
978,9989664
979,10060645
980,10439046
981,10443519
982,10443521
983,11045400
984,11045402
985,11056696
986,11087024
987,11087027
988,11187161
989,11225165
990,11239767
991,11243686
992,11267042
993,11267537
994,25936008
995,25953522
996,26040167
997,26040168
998,27926023
999,28156650
1000,28160583
1001,28196903
1002,28197457
1003,28207480
1004,28209366
1005,28211236
1006,28231226
1007,28231227
1008,28231228
1009,28231231
1010,28231232
1011,28338136
1012,28551091
1013,28642566
1014,28694074
1015,28729369
1016,28886823
1017,28886827
1018,28886833
1019,28894394
1020,28894397
1021,28894398
1022,28894400
1023,28894401
1024,28894402
1025,28894403
1026,28894404
1027,28894405
1028,28958774
1029,28958775
1030,28958777
1031,28958778
1032,28958782
1033,28958784
1034,28958786
1035,28958793
1036,28958794
1037,28958795
1038,29077151
1039,29077241
1040,29156276
1041,29174331
1042,29204371
1043,29204373
1044,29204374
1045,29280326
1046,29280328
1047,29682306
1048,29820356
1049,29820367
1050,30065047
1051,30144336
1052,31496023
1053,31496071
1054,32279777
1055,32906995
1056,34134342
1057,34513263
1058,34675232
1059,34675265
1060,34979123
1061,36436342
1062,37172850
1063,37172855
1064,37172859
1065,37172862
1066,37172863
1067,37172870
1068,37350026
1069,37350035
1070,37668913
1071,37668924
1072,37668934
1073,37668939
1074,37893615
1075,37893616
1076,37893624
1077,37893625
1078,37893626
1079,37893627
1080,37927240
1081,37927242
1082,37927245
1083,37927246
1084,37927248
1085,37927256
1086,37927257
1087,37927265
1088,38089615
1089,38089640
1090,38268013
1091,38268043
1092,38313624
1093,38313664
1094,38936308
1095,39077022
1096,39590159
1097,39693469
1098,39898588
1099,40372579
1100,40372580
1101,40372581
1102,40806997
1103,40806998
1104,40807000
1105,41112188
1106,41183728
1107,41183730
1108,41183731
1109,41183734
1110,41183747
1111,41183748
1112,41183753
1113,41183754
1114,41183755
1115,41183756
1116,41183759
1117,41183760
1118,41286012
1119,42278456
1120,42278461
1121,42348358
1122,42503930
1123,42503948
1124,42503964
1125,42504016
1126,44305834
1127,44448691
1128,45103970
1129,45104080
1130,45256081
1131,45446616
1132,45792064
1133,46422269
1134,46422285
1135,46898334
1136,47304565
1137,47304566
1138,47304570
1139,47304578
1140,47304581
1141,47304690
1142,48784756
1143,49086036
1144,50530109
1145,50530220
1146,51933736
1147,52402536
1148,52402545
1149,52402546
1150,52402762
1151,52714855
1152,52714857
1153,53005885
1154,53005886
1155,53157298
1156,53560116
1157,53631814
1158,53874848
1159,54355983
1160,54355995
1161,54356003
1162,54356022
1163,54439646
1164,55385054
1165,55934902
1166,58811905
1167,58934802
1168,58934854
1169,59550701
1170,59551163
1171,59828817
1172,60322160
1173,60322161
1174,60322162
1175,8813355
1176,8835606
1177,8892473
1178,8932308
1179,9118024
1180,9151233
1181,9266820
1182,9267320
1183,9267322
1184,9267333
1185,9267334
1186,9321815
1187,9393674
1188,9519600
1189,9543323
1190,9635540
1191,9730722
1192,9763212
1193,9867079
1194,9995005
1195,10019307
1196,10050150
1197,10059261
1198,10062981
1199,10144606
1200,11087016
1201,11187153
1202,11225167
1203,11239765
1204,11239766
1205,25920876
1206,25936013
1207,26040176
1208,28156651
1209,28160580
1210,28160581
1211,28196908
1212,28197462
1213,28215906
1214,28231222
1215,28231223
1216,28231224
1217,28231229
1218,28231233
1219,28232496
1220,28232498
1221,28338139
1222,28338162
1223,28510489
1224,28873193
1225,28886831
1226,28886836
1227,28886840
1228,28886841
1229,28894395
1230,28915496
1231,28958772
1232,28958773
1233,28958776
1234,28958779
1235,28958783
1236,28958787
1237,29054882
1238,29125108
1239,29125110
1240,29174323
1241,29204376
1242,29204377
1243,29487628
1244,29487642
1245,29682316
1246,29820365
1247,30036102
1248,30065051
1249,30346621
1250,30549449
1251,31496069
1252,32223114
1253,32906917
1254,33198360
1255,33809844
1256,34212623
1257,34650251
1258,36370387
1259,36580630
1260,37086698
1261,37172849
1262,37172852
1263,37172860
1264,37350025
1265,37350030
1266,37668919
1267,37893617
1268,37927244
1269,37927251
1270,37927252
1271,37927254
1272,38268037
1273,38438292
1274,38438328
1275,39283120
1276,39590140
1277,39590155
1278,39590156
1279,39590163
1280,39590168
1281,39590170
1282,39898583
1283,39898586
